Title,Max Players,Multiplatform,Online,Genres,Publishers,Review Score,Total Sales,Price,ESRB Rating,Year of Release,Number Of Players Completed The Game,Completionists Average Time,Main Story Average Time,Like
Super Mario 64 DS,1,True,True,Action,Nintendo,85,4.69,24.95,E,2004,57,29.766666666666666,14.333333333333334,0
Lumines: Puzzle Fusion,1,True,True,Strategy,Ubisoft,89,0.56,14.95,E,2004,5,0.0,10.333333333333334,0
WarioWare Touched!,2,True,True,"Action,Racing / Driving,Sports",Nintendo,81,0.54,22.95,E,2004,57,10.0,1.9166666666666663,0
Hot Shots Golf: Open Tee,1,True,True,Sports,Sony,81,0.49,12.95,E,2004,0,0.0,0.0,0
Spider-Man 2,1,True,True,Action,Activision,61,0.45,14.95,E,2004,37,72.56666666666666,8.35,0
The Urbz: Sims in the City,1,True,True,Simulation,EA,67,0.41,12.95,M,2004,7,30.03333333333333,15.5,0
Ridge Racer,1,True,True,Racing / Driving,Namco,88,0.36,19.95,E,2004,6,1.25,0.6166666666666667,0
Metal Gear Ac!d,1,True,True,Strategy,Konami,75,0.34,17.95,E,2004,18,80.0,20.7,0
Madden NFL 2005,1,True,True,Sports,EA,68,0.25,8.95,T,2004,0,0.0,0.0,0
Pokmon Dash,1,True,True,Racing / Driving,Nintendo,46,0.22,24.95,T,2004,4,12.0,1.1166666666666667,0
Dynasty Warriors,1,True,True,"Action,Adventure,Role-Playing (RPG)",,62,0.2,14.95,E,2004,4,0.0,8.883333333333333,0
Feel the Magic XY/XX,1,True,True,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,8.95,T,2004,9,0.0,2.85,0
Ridge Racer DS,1,True,True,Racing / Driving,Namco,63,0.15,9.95,E,2004,1,0.0,2.2333333333333334,0
Darkstalkers Chronicle: The Chaos Tower,1,True,True,Action,Capcom,74,0.14,14.95,E,2004,7,0.0,1.6333333333333333,0
Ape Escape Academy,4,True,True,"Action,Sports",Sony,51,0.13,14.95,E,2004,1,0.0,1.8833333333333333,0
Polarium,1,True,True,Strategy,Nintendo,73,0.12,8.95,E,2004,5,12.0,5.416666666666667,0
Asphalt: Urban GT,1,True,True,"Racing / Driving,Simulation",Ubisoft,60,0.11,14.95,E,2004,2,9.816666666666666,15.0,0
Zoo Keeper,1,True,True,Action,,74,0.1,14.95,T,2004,5,11.75,6.0,0
Mr. DRILLER: Drill Spirits,1,True,True,Action,Namco,72,0.09,14.95,T,2004,2,0.0,9.883333333333333,0
Sprung,1,True,True,Adventure,Ubisoft,48,0.06,8.95,E,2004,1,17.75,0.0,0
Armored Core: Formula Front - Extreme Battle,1,True,True,"Action,Strategy",,66,0.05,16.95,E,2004,0,0.0,0.0,0
Puyo Pop Fever,1,True,True,"Action,Strategy",Sega,76,0.04,19.95,E,2004,3,0.0,1.75,0
Mario Kart DS,1,True,True,Racing / Driving,Nintendo,91,9.99,29.95,E,2005,91,16.383333333333333,4.783333333333333,0
Nintendogs,1,True,True,Simulation,Nintendo,83,9.72,26.95,E,2005,9,100.0,27.966666666666665,0
Brain Age: Train Your Brain in Minutes a Day!,1,True,True,Action,Nintendo,77,5.07,17.95,M,2005,10,1.0,0.9333333333333332,0
Brain Agey: More Training in Minutes a Day!,1,True,True,Action,Nintendo,77,3.65,17.95,E,2005,7,1.0,7.266666666666667,0
Grand Theft Auto: Liberty City Stories,1,True,True,"Action,Racing / Driving","Capcom,Rockstar",88,2.97,17.95,E,2005,60,46.66666666666666,14.216666666666669,0
Animal Crossing: Wild World,1,True,True,Simulation,Nintendo,86,2.6,24.95,T,2005,24,408.5833333333333,72.38333333333334,0
Big Brain Academy,1,True,True,Action,Nintendo,74,1.77,16.95,E,2005,9,16.383333333333333,4.3,0
Call of Duty 2,4,True,True,Action,"Activision,Konami",89,1.69,17.95,E,2005,210,11.633333333333333,8.516666666666667,0
Midnight Club 3: DUB Edition,1,True,True,Racing / Driving,Rockstar,74,1.69,14.95,T,2005,9,48.86666666666667,19.166666666666668,0
Need for Speed: Most Wanted 5-1-0,1,True,True,Racing / Driving,EA,72,1.67,14.95,M,2005,3,0.0,12.166666666666666,0
Pokmon Mystery Dungeon: Blue Rescue Team,1,True,True,Role-Playing (RPG),Nintendo,62,1.22,14.95,T,2005,60,111.96666666666668,22.566666666666663,0
Sonic Rush,1,True,True,Action,Sega,82,1.2,14.95,E,2005,25,13.433333333333334,4.966666666666667,0
Star Wars: Battlefront II,1,True,True,Action,,69,1.09,16.95,E,2005,99,48.9,7.783333333333333,0
SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,True,True,Action,Sony,82,1.07,14.95,E,2005,1,0.0,8.583333333333334,0
Need for Speed: Most Wanted,2,True,True,Racing / Driving,EA,83,0.95,17.95,E,2005,182,34.6,10.183333333333334,0
Zoo Tycoon DS,1,True,True,"Simulation,Strategy",THQ,44,0.92,12.95,T,2005,0,0.0,0.0,0
The Sims 2,1,True,True,"Role-Playing (RPG),Simulation",EA,70,0.83,17.95,M,2005,20,200.0,40.66666666666666,0
Mario & Luigi: Partners in Time,1,True,True,"Action,Role-Playing (RPG)",Nintendo,86,0.75,29.95,E,2005,96,33.916666666666664,18.15,0
Madden NFL 06,1,True,True,Sports,EA,75,0.75,7.95,E,2005,2,3.75,0.0,0
Need for Speed Underground: Rivals,4,True,True,Racing / Driving,EA,74,0.73,17.95,E,2005,3,27.566666666666663,12.0,0
Twisted Metal: Head-On,1,True,True,"Action,Racing / Driving",Sony,79,0.73,14.95,E,2005,0,0.0,0.0,0
Perfect Dark Zero,4,True,True,Action,Microsoft,79,0.7,17.95,E,2005,33,28.85,7.816666666666666,0
Super Monkey Ball: Touch & Roll,1,True,True,Action,Sega,63,0.7,15.95,T,2005,9,0.0,0.85,0
Super Princess Peach,1,True,True,Action,Nintendo,75,0.7,29.95,T,2005,22,17.783333333333335,7.616666666666667,0
Burnout Legends,1,True,True,"Action,Racing / Driving",EA,86,0.68,14.95,T,2005,14,15.366666666666667,6.516666666666667,0
Madden NFL 06,2,True,True,Sports,EA,74,0.62,4.95,E,2005,2,3.75,0.0,0
Clubhouse Games,1,True,True,Strategy,Nintendo,83,0.61,17.95,E,2005,1,20.0,0.0,0
ATV Offroad Fury: Blazin' Trails,4,True,True,"Racing / Driving,Sports",Sony,63,0.56,12.95,T,2005,0,0.0,0.0,0
Untold Legends: Brotherhood of the Blade,1,True,True,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,12.95,M,2005,2,0.0,20.0,0
Tony Hawk's Underground 2: Remix,1,True,True,Sports,Activision,83,0.49,14.95,T,2005,1,23.45,0.0,0
The Sims 2,1,True,True,"Simulation,Strategy",EA,65,0.46,14.95,T,2005,20,200.0,40.66666666666666,0
WipEout Pure,1,True,True,"Action,Racing / Driving",Sony,88,0.45,12.95,E,2005,8,0.0,6.716666666666667,0
NBA Live 06,1,True,True,Sports,EA,80,0.42,9.95,E,2005,1,0.0,4.0,0
WWE Smackdown vs. Raw 2006,4,True,True,"Action,Sports",THQ,81,0.38,14.95,T,2005,14,46.48333333333333,7.966666666666667,0
Dead or Alive 4,4,True,True,Action,,85,0.38,17.95,E,2005,25,138.75,3.733333333333333,0
Phoenix Wright: Ace Attorney,1,True,True,"Adventure,Simulation",Capcom,81,0.38,24.95,E,2005,240,22.35,16.916666666666668,0
Spider-Man 2,1,True,True,Action,Activision,67,0.38,14.95,M,2005,37,72.56666666666666,8.35,0
NFL Street 2,4,True,True,Sports,EA,73,0.37,17.95,T,2005,0,0.0,0.0,0
Kirby: Canvas Curse,1,True,True,Action,Nintendo,86,0.37,17.95,T,2005,40,16.116666666666667,5.033333333333333,0
Battlefield 2: Modern Combat,4,True,True,Action,EA,77,0.36,16.95,E,2005,4,0.0,6.733333333333333,0
Yoshi Touch & Go,1,True,True,Action,Nintendo,73,0.36,17.95,T,2005,2,0.0,3.0,0
Tiger Woods PGA Tour 06,4,True,True,Sports,EA,71,0.33,9.95,T,2005,0,0.0,0.0,0
Condemned: Criminal Origins,1,True,True,"Action,Adventure",Sega,81,0.33,14.95,E,2005,156,14.15,7.25,0
Peter Jackson's King Kong: The Official Game of...,2,True,True,Action,Ubisoft,80,0.32,14.95,T,2005,49,7.583333333333333,6.583333333333333,0
Castlevania: Dawn of Sorrow,1,True,True,"Action,Role-Playing (RPG)",Konami,89,0.31,17.95,T,2005,130,30.016666666666666,11.216666666666669,0
SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,THQ,67,0.31,13.95,E,2005,2,15.7,8.0,0
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,EA,58,0.31,17.95,T,2005,8,0.0,4.366666666666666,0
Kameo: Elements of Power,1,True,True,Action,Microsoft,79,0.31,11.95,T,2005,43,17.0,9.25,0
Advance Wars: Dual Strike,1,True,True,Strategy,Nintendo,90,0.3,17.95,T,2005,34,292.5,24.2,0
Trauma Center: Under the Knife,1,True,True,"Action,Simulation",Nintendo,81,0.3,15.95,T,2005,32,9.066666666666666,8.15,0
Coded Arms,1,True,True,Action,Konami,59,0.3,12.95,M,2005,5,0.0,4.816666666666666,0
NBA LIVE 06 ,1,True,True,Sports,EA,64,0.29,4.95,E,2005,1,0.0,4.0,0
Tony Hawk's American Wasteland,1,True,True,Sports,Activision,75,0.29,14.95,E,2005,18,15.0,11.8,0
Star Wars: Episode III - Revenge of the Sith,1,True,True,Action,Ubisoft,73,0.28,16.95,E,2005,25,6.266666666666667,4.616666666666667,0
Capcom Classics Collection Remixed,1,True,True,Action,Capcom,72,0.28,17.95,E,2005,1,0.0,0.0,0
Madagascar,1,True,True,Adventure,Activision,66,0.27,14.95,E,2005,12,0.0,5.283333333333333,0
X-Men: Legends II - Rise of Apocalypse,1,True,True,"Action,Role-Playing (RPG)",Activision,84,0.27,17.95,M,2005,18,23.566666666666663,22.566666666666663,0
Quake 4,1,True,True,Action,Activision,75,0.27,14.95,E,2005,110,13.6,7.8,0
Pokmon Trozei!,1,True,True,Strategy,Nintendo,74,0.26,19.95,E,2005,5,0.0,3.2333333333333334,0
Need for Speed: Most Wanted,1,True,True,Racing / Driving,EA,45,0.25,15.95,E,2005,182,34.6,10.183333333333334,0
Mega Man Maverick Hunter X,1,True,True,Action,Capcom,79,0.25,17.95,E,2005,18,7.45,4.066666666666666,0
Metroid Prime Pinball,1,True,True,"Action,Simulation",Nintendo,79,0.22,17.95,E,2005,7,8.666666666666666,2.6833333333333336,0
NBA 06,1,True,True,Sports,Sony,72,0.22,9.95,E,2005,1,0.0,4.0,0
GUN ,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",Activision,75,0.22,19.95,E,2005,83,13.183333333333334,6.3,0
NBA 2K6 ,1,True,True,Sports,2K,81,0.22,4.95,E,2005,3,0.6166666666666667,0.0,0
Pinball Hall of Fame: The Gottlieb Collection,4,True,True,Action,,73,0.21,9.95,T,2005,0,0.0,0.0,0
Harry Potter and the Goblet of Fire,1,True,True,Action,EA,68,0.21,17.95,T,2005,18,15.0,7.2,0
Tony Hawk's American Sk8land,1,True,True,Sports,Activision,84,0.21,16.95,E,2005,5,0.0,0.0,0
MVP Baseball,1,True,True,Sports,EA,67,0.21,4.95,M,2005,0,0.0,0.0,0
Tiger Woods PGA Tour,1,True,True,Sports,EA,78,0.21,17.95,E,2005,0,0.0,0.0,0
World Series of Poker,1,True,True,"Sports,Strategy",Activision,37,0.21,14.95,E,2005,0,0.0,0.0,0
SSX on Tour,1,True,True,Sports,EA,79,0.2,16.95,E,2005,4,0.0,0.0,0
Tiger Woods PGA Tour 06,1,True,True,Sports,EA,80,0.2,9.95,T,2005,0,0.0,0.0,0
Death Jr.,1,True,True,Action,Konami,61,0.19,9.95,M,2005,1,0.0,3.533333333333333,0
Harry Potter and the Goblet of Fire,1,True,True,Action,EA,70,0.19,17.95,T,2005,18,15.0,7.2,0
MediEvil Resurrection,1,True,True,Action,Sony,66,0.19,17.95,T,2005,6,9.25,9.966666666666669,0
"The Chronicles of Narnia: The Lion, the Witch a...",1,True,True,"Action,Role-Playing (RPG)",,65,0.18,12.95,T,2005,6,0.0,3.6166666666666663,0
Shrek SuperSlam,1,True,True,Action,Activision,56,0.18,11.95,E,2005,5,0.0,1.2166666666666668,0
Virtua Tennis: World Tour,1,True,True,Sports,Sega,84,0.18,14.95,M,2005,0,0.0,0.0,0
Prince of Persia: Revelations,1,True,True,Action,Ubisoft,65,0.17,6.95,E,2005,0,0.0,0.0,0
Burnout Legends,1,True,True,"Action,Racing / Driving",EA,38,0.16,17.95,E,2005,14,15.366666666666667,6.516666666666667,0
Meteos,1,True,True,Strategy,Nintendo,88,0.16,15.95,E,2005,13,23.75,8.516666666666667,0
Spyro: Shadow Legacy,1,True,True,Role-Playing (RPG),,50,0.15,17.95,E,2005,4,6.0,2.5166666666666666,0
The Con,1,True,True,Action,Sony,63,0.15,8.95,E,2005,0,0.0,0.0,0
Infected,1,True,True,Action,,74,0.15,17.95,E,2005,2,0.0,6.666666666666667,0
Pursuit Force,1,True,True,"Action,Racing / Driving",Sony,75,0.14,14.95,M,2005,6,0.0,9.75,0
Kingdom of Paradise,2,True,True,"Action,Role-Playing (RPG)",Sony,72,0.13,12.95,E,2005,2,0.0,0.0,0
Dragon Ball Z: Supersonic Warriors 2,1,True,True,Action,Atari,66,0.13,22.95,E,2005,10,15.25,14.966666666666669,0
Dragon Quest Heroes: Rocket Slime,1,True,True,Action,SquareEnix,83,0.13,12.95,T,2005,39,22.616666666666667,12.583333333333334,0
Dead to Rights: Reckoning,1,True,True,Action,Namco,54,0.13,14.95,E,2005,3,5.0,2.15,0
Amped 3,1,True,True,Sports,2K,72,0.13,14.95,E,2005,9,9.0,6.333333333333333,0
Break 'em All,1,True,True,Action,,68,0.12,17.95,T,2005,0,0.0,0.0,0
Lunar: Dragon Song,1,True,True,Role-Playing (RPG),Ubisoft,59,0.12,14.95,M,2005,7,29.616666666666667,20.316666666666663,0
Madden NFL 06,1,True,True,Sports,EA,66,0.12,9.95,E,2005,2,3.75,0.0,0
Retro Atari Classics,1,True,True,"Action,Racing / Driving,Simulation",Atari,51,0.12,12.95,E,2005,0,0.0,0.0,0
True Swing Golf,1,True,True,Sports,Nintendo,66,0.12,14.95,E,2005,0,0.0,0.0,0
FIFA Soccer,1,True,True,Sports,EA,73,0.12,14.95,E,2005,0,0.0,0.0,0
Metal Gear Ac!d 2,1,True,True,Strategy,Konami,80,0.12,12.95,E,2005,15,0.0,13.45,0
ATV Quad Frenzy,1,True,True,"Racing / Driving,Sports",,35,0.11,14.95,T,2005,0,0.0,0.0,0
Bomberman,1,True,True,Strategy,Ubisoft,75,0.11,17.95,E,2005,7,0.0,3.333333333333333,0
GoldenEye: Rogue Agent,1,True,True,Action,EA,58,0.11,14.95,T,2005,4,0.0,9.416666666666666,0
Need for Speed Underground 2,1,True,True,Racing / Driving,EA,65,0.11,22.95,T,2005,69,23.366666666666667,19.6,0
Frogger: Helmet Chaos,1,True,True,Action,Konami,66,0.11,19.95,E,2005,0,0.0,0.0,0
The Lord of the Rings: Tactics,1,True,True,"Role-Playing (RPG),Strategy",EA,64,0.11,19.95,M,2005,1,0.0,5.0,0
Rengoku: The Tower of Purgatory,1,True,True,"Action,Role-Playing (RPG)",Konami,43,0.11,12.95,E,2005,2,0.0,4.716666666666667,0
Gretzky NHL,2,True,True,Sports,Sony,61,0.1,9.95,E,2005,0,0.0,0.0,0
Ridge Racer 6,2,True,True,Racing / Driving,"EA,Namco",74,0.1,14.95,E,2005,1,0.0,8.0,0
Ford Racing 3,1,True,True,"Action,Racing / Driving",,49,0.1,14.95,E,2005,6,8.4,3.333333333333333,0
NHL 2K6 ,1,True,True,Sports,2K,75,0.1,5.95,T,2005,2,2.5,0.0,0
Bust-a-Move DS,1,True,True,"Action,Strategy",,75,0.09,17.95,E,2005,0,0.0,0.0,0
Battles of Prince of Persia,1,True,True,Strategy,Ubisoft,64,0.09,14.95,E,2005,3,0.0,8.5,0
GripShift,1,True,True,Racing / Driving,Ubisoft,70,0.09,9.95,E,2005,0,0.0,0.0,0
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,EA,34,0.08,14.95,T,2005,8,0.0,4.366666666666666,0
Scooby-Doo! Unmasked,1,True,True,Action,THQ,60,0.08,17.95,E,2005,1,0.0,8.0,0
Viewtiful Joe: Double Trouble!,1,True,True,Action,Capcom,73,0.08,14.95,E,2005,5,0.0,5.166666666666667,0
The Legend of Heroes: A Tear of Vermillion,1,True,True,Role-Playing (RPG),,68,0.08,17.95,T,2005,9,38.5,26.266666666666666,0
PQ: Practical Intelligence Quotient,1,True,True,Strategy,,69,0.08,14.95,E,2005,0,0.0,0.0,0
Lost in Blue,1,True,True,Role-Playing (RPG),Konami,69,0.07,24.95,T,2005,5,22.25,0.0,0
Ghost in the Shell: Stand Alone Complex,1,True,True,Action,Sony,61,0.07,14.95,E,2005,0,0.0,0.0,0
Dig Dug: Digging Strike,1,True,True,Action,Namco,65,0.06,16.95,E,2005,0,0.0,0.0,0
Frogger: Helmet Chaos,1,True,True,Action,Konami,69,0.06,17.95,E,2005,0,0.0,0.0,0
Mega Man Battle Network 5: Double Team DS,1,True,True,"Action,Role-Playing (RPG)",Capcom,68,0.06,17.95,E,2005,13,48.15,29.916666666666668,0
Nanostray,1,True,True,Action,THQ,71,0.06,17.95,E,2005,5,0.0,1.4333333333333331,0
Sega Casino,1,True,True,Simulation,Sega,61,0.06,17.95,M,2005,0,0.0,0.0,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,True,True,"Action,Adventure",Konami,58,0.06,17.95,T,2005,1,0.0,4.5,0
Pac-Man World 3,1,True,True,Action,"EA,Namco",61,0.06,24.95,E,2005,1,0.0,8.0,0
Tokobot,1,True,True,Strategy,,72,0.06,17.95,T,2005,4,0.0,8.45,0
