Title,Max Players,Multiplatform,Online,Genres,Publishers,Review Score,Total Sales,Price,ESRB Rating,Year of Release,Number Of Players Completed The Game,Completionists Average Time,Main Story Average Time,Like
Fullmetal Alchemist: Dual Sympathy,1,True,True,Action,,58,0.05,14.95,M,2005,2,0.0,14.0,0
Exit,1,True,True,Action,Ubisoft,77,0.05,9.95,E,2005,2,0.0,6.0,0
Bubble Bobble Revolution,1,True,True,Action,,38,0.04,17.95,M,2005,0,0.0,0.0,0
The Rub Rabbits!,2,True,True,"Action,Adventure",Sega,68,0.02,17.95,M,2005,3,0.0,2.1666666666666665,0
Electroplankton,1,True,True,Simulation,Nintendo,71,0.01,29.95,T,2005,6,0.5,0.4166666666666667,0
LifeSigns: Surgical Unit,1,True,True,"Simulation,Strategy",,61,0.01,22.95,T,2005,1,30.516666666666666,0.0,0
Space Invaders Revolution,1,True,True,Action,,49,0.01,13.95,E,2005,0,0.0,0.0,0
Wii Play,2,True,True,"Action,Sports",Nintendo,58,14.66,14.95,T,2006,11,0.0,4.083333333333333,0
New Super Mario Bros.,1,True,True,Action,Nintendo,89,10.03,27.95,T,2006,156,17.066666666666666,7.2,0
Pokmon Diamond,1,True,True,Role-Playing (RPG),Nintendo,85,6.77,27.95,E,2006,253,265.2,42.63333333333333,0
Pokmon Pearl,1,True,True,Role-Playing (RPG),Nintendo,85,6.77,26.95,E,2006,253,265.2,42.63333333333333,0
Gears of War,2,True,True,Action,Microsoft,94,3.7,19.95,M,2006,310,29.0,9.183333333333334,0
The Legend of Zelda: Twilight Princess,1,True,True,"Action,Role-Playing (RPG)",Nintendo,95,3.33,39.95,M,2006,528,55.3,37.266666666666666,0
Cooking Mama,1,True,True,Simulation,,67,2.9,17.95,M,2006,5,0.0,8.633333333333333,0
Marvel Ultimate Alliance,4,True,True,"Action,Role-Playing (RPG)",Activision,82,2.42,14.95,T,2006,68,25.383333333333333,12.866666666666667,0
Daxter,1,True,True,Action,Sony,85,2.38,14.95,T,2006,37,14.283333333333331,7.35,0
The Elder Scrolls IV: Oblivion,1,True,True,"Action,Role-Playing (RPG)",2K,94,2.12,19.95,E,2006,518,195.03333333333333,26.83333333333333,0
Madden NFL 07,2,True,True,Sports,EA,80,1.77,4.95,E,2006,0,0.0,0.0,0
Grand Theft Auto: Vice City Stories,1,True,True,"Action,Racing / Driving",Rockstar,86,1.72,17.95,E,2006,45,45.61666666666667,16.65,0
Resistance: Fall of Man,4,True,True,Action,Sony,86,1.61,19.95,E,2006,138,18.58333333333333,11.75,0
MotorStorm,1,True,True,"Action,Racing / Driving,Sports",Sony,82,1.58,16.95,T,2006,16,16.883333333333333,13.85,0
Call of Duty 3,2,True,True,Action,Activision,82,1.51,16.95,T,2006,96,9.8,8.3,0
Yoshi's Island DS,1,True,True,Action,Nintendo,81,1.49,27.95,E,2006,23,0.0,8.516666666666667,0
Tom Clancy's Ghost Recon: Advanced Warfighter,4,True,True,Action,Ubisoft,90,1.46,14.95,E,2006,10,0.0,8.666666666666666,0
Fight Night Round 3,2,True,True,"Action,Sports",EA,86,1.4,14.95,E,2006,21,10.583333333333334,11.033333333333331,0
Pokmon Ranger,1,True,True,Role-Playing (RPG),Nintendo,69,1.36,19.95,E,2006,36,36.88333333333333,12.55,0
Rayman Raving Rabbids,4,True,True,Action,Ubisoft,76,1.26,17.95,T,2006,27,8.1,5.8,0
Saints Row,1,True,True,"Action,Racing / Driving",THQ,81,1.23,14.95,T,2006,57,55.61666666666667,17.883333333333333,0
Tom Clancy's Rainbow Six: Vegas,2,True,True,Action,Ubisoft,88,1.19,14.95,E,2006,76,12.0,8.75,0
Dead Rising,1,True,True,Action,Capcom,85,1.16,16.95,E,2006,93,55.56666666666667,11.083333333333334,0
Call of Duty 3,1,True,True,Action,Activision,69,1.15,19.95,E,2006,96,9.8,8.3,0
Lost Planet: Extreme Condition,1,True,True,Action,Capcom,79,1.15,12.95,M,2006,92,12.7,8.566666666666666,0
Mario Hoops 3 on 3,1,True,True,Sports,Nintendo,69,1.03,22.95,M,2006,2,0.0,3.5,0
LEGO Star Wars II: The Original Trilogy,1,True,True,Action,EA,47,1.02,17.95,E,2006,51,27.85,11.25,0
Super Monkey Ball: Banana Blitz,4,True,True,Action,Sega,74,1.0,14.95,T,2006,6,0.0,5.316666666666666,0
The Sims 2: Pets,1,True,True,Simulation,EA,49,0.97,14.95,T,2006,2,0.0,0.0,0
Need for Speed: Carbon - Own the City,1,True,True,Racing / Driving,EA,73,0.93,16.95,E,2006,2,20.35,15.716666666666669,0
WarioWare: Smooth Moves,6,True,True,"Action,Racing / Driving,Sports",Nintendo,83,0.9,39.95,T,2006,34,7.783333333333333,2.7666666666666666,0
Fight Night Round 3,2,True,True,"Action,Sports",EA,83,0.86,13.95,T,2006,21,10.583333333333334,11.033333333333331,0
Final Fantasy III,1,True,True,Role-Playing (RPG),SquareEnix,77,0.86,17.95,E,2006,849,89.7,27.716666666666665,0
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,True,True,Action,Sony,81,0.86,16.95,E,2006,0,0.0,0.0,0
Madden NFL 07,1,True,True,Sports,EA,78,0.83,9.95,E,2006,0,0.0,0.0,0
Monster 4x4: World Circuit,4,True,True,Racing / Driving,Ubisoft,51,0.82,12.95,E,2006,0,0.0,0.0,0
Kirby: Squeak Squad,1,True,True,Action,Nintendo,71,0.82,27.95,T,2006,42,6.6,4.216666666666667,0
Pokmon Battle Revolution,4,True,True,"Action,Strategy",Nintendo,53,0.81,39.95,T,2006,15,65.71666666666667,13.016666666666667,0
Medal of Honor: Heroes,1,True,True,Action,EA,71,0.81,14.95,E,2006,8,0.0,4.95,0
Tekken: Dark Resurrection,1,True,True,Action,"Namco,Sony",88,0.81,17.95,E,2006,6,35.083333333333336,2.3666666666666667,0
Need for Speed: Carbon,2,True,True,Racing / Driving,EA,77,0.78,16.95,E,2006,56,22.666666666666668,12.616666666666667,0
Mario vs. Donkey Kong 2: March of the Minis,1,True,True,Action,Nintendo,76,0.77,27.95,T,2006,5,0.0,3.883333333333333,0
Sonic Rivals,1,True,True,"Action,Racing / Driving",Sega,64,0.76,17.95,T,2006,4,20.0,6.15,0
NCAA Football 07,2,True,True,Sports,EA,79,0.7,4.95,E,2006,0,0.0,0.0,0
Mortal Kombat: Unchained,2,True,True,Action,Midway,70,0.67,17.95,E,2006,4,45.0,3.066666666666667,0
Tom Clancy's Splinter Cell: Double Agent,1,True,True,Action,Ubisoft,85,0.67,17.95,E,2006,76,17.366666666666667,11.616666666666667,0
Tetris DS,1,True,True,Strategy,Nintendo,84,0.66,17.95,M,2006,8,33.5,16.75,0
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,,83,0.61,17.95,T,2006,51,27.85,11.25,0
Red Steel,4,True,True,Action,Ubisoft,63,0.58,14.95,T,2006,12,0.0,8.6,0
Metroid Prime: Hunters,1,True,True,Action,Nintendo,85,0.58,27.95,E,2006,32,15.25,8.8,0
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,,81,0.57,14.95,E,2006,51,27.85,11.25,0
NBA 2K7 ,1,True,True,Sports,2K,84,0.56,4.95,E,2006,2,0.0,8.183333333333334,0
SEGA Genesis Collection,2,True,True,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,82,0.55,17.95,T,2006,0,0.0,0.0,0
Call of Duty 3,1,True,True,Action,Activision,80,0.52,19.95,T,2006,96,9.8,8.3,0
NBA Live 07,1,True,True,Sports,EA,64,0.51,7.95,E,2006,0,0.0,0.0,0
Madden NFL 07,2,True,True,Sports,EA,76,0.49,6.95,T,2006,0,0.0,0.0,1
SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,THQ,48,0.49,12.95,T,2006,2,15.7,8.0,1
Madden NFL 07,4,True,True,Sports,EA,81,0.48,9.95,E,2006,0,0.0,0.0,1
Fight Night Round 3,2,True,True,"Action,Simulation,Sports",EA,74,0.48,16.95,T,2006,21,10.583333333333334,11.033333333333331,1
Need for Speed: Carbon,2,True,True,Racing / Driving,EA,75,0.47,17.95,T,2006,56,22.666666666666668,12.616666666666667,1
Need for Speed: Carbon,2,True,True,Racing / Driving,EA,67,0.47,17.95,M,2006,56,22.666666666666668,12.616666666666667,1
WWE SmackDown vs. Raw 2007,4,True,True,Sports,THQ,81,0.45,12.95,E,2006,10,57.6,8.75,1
Tiger Woods PGA Tour 07,1,True,True,Sports,EA,80,0.45,9.95,T,2006,1,0.0,10.0,1
Viva Pi$?ata,4,True,True,"Simulation,Strategy",Microsoft,84,0.44,16.95,E,2006,20,52.38333333333333,18.0,1
SpongeBob Squarepants: Creature from the Krusty Krab,1,True,True,"Action,Adventure",THQ,57,0.44,14.95,T,2006,10,7.75,5.883333333333333,1
Tony Hawk's Project 8,2,True,True,Sports,Activision,68,0.42,17.95,M,2006,11,0.0,16.433333333333334,1
Tony Hawk's Project 8,2,True,True,Sports,Activision,81,0.42,16.95,E,2006,11,0.0,16.433333333333334,1
NBA LIVE 07 ,1,True,True,Sports,EA,59,0.42,4.95,T,2006,0,0.0,0.0,1
Excite Truck,2,True,True,Racing / Driving,Nintendo,72,0.4,19.95,M,2006,7,24.33333333333333,7.0,1
Harvest Moon DS,1,True,True,"Role-Playing (RPG),Simulation",,67,0.4,17.95,T,2006,6,75.0,44.06666666666667,1
Star Fox Command,1,True,True,Action,Nintendo,76,0.39,14.95,T,2006,17,0.0,3.3166666666666664,1
Metal Gear Solid: Portable Ops,1,True,True,"Action,Strategy",Konami,87,0.39,17.95,T,2006,66,30.0,11.683333333333334,1
Marvel Ultimate Alliance,4,True,True,"Action,Role-Playing (RPG)",Activision,73,0.38,17.95,M,2006,68,25.383333333333333,12.866666666666667,1
Blazing Angels: Squadrons of WWII,2,True,True,Action,Ubisoft,66,0.37,16.95,E,2006,0,0.0,0.0,1
Major League Baseball 2K6,2,True,True,Sports,2K,66,0.37,4.95,T,2006,3,7.65,0.0,1
NCAA Football 07,1,True,True,Sports,EA,75,0.36,9.95,T,2006,0,0.0,0.0,1
MLB 06: The Show,2,True,True,Sports,Sony,83,0.35,9.95,T,2006,0,0.0,0.0,1
Blazing Angels: Squadrons of WWII,2,True,True,Action,Ubisoft,67,0.35,16.95,T,2006,0,0.0,0.0,1
WWE SmackDown vs. Raw 2007,4,True,True,Sports,THQ,78,0.34,14.95,T,2006,10,57.6,8.75,1
Rune Factory: A Fantasy Harvest Moon,1,True,True,"Role-Playing (RPG),Simulation",,78,0.34,24.95,T,2006,4,38.0,0.0,1
Marvel Ultimate Alliance,1,True,True,"Action,Role-Playing (RPG)",Activision,81,0.34,22.95,E,2006,68,25.383333333333333,12.866666666666667,1
Marvel Ultimate Alliance,4,True,True,"Action,Role-Playing (RPG)",Activision,78,0.33,24.95,M,2006,68,25.383333333333333,12.866666666666667,1
Tiger Woods PGA Tour 07,4,True,True,Sports,EA,81,0.32,14.95,E,2006,1,0.0,10.0,1
Ace Combat X: Skies of Deception,1,True,True,"Action,Simulation",Namco,75,0.32,22.95,E,2006,14,12.5,4.183333333333334,1
Killzone: Liberation,1,True,True,"Action,Strategy",Sony,77,0.32,16.95,M,2006,26,9.533333333333331,7.583333333333333,1
F.E.A.R.: First Encounter Assault Recon,1,True,True,Action,,85,0.32,17.95,E,2006,557,11.9,8.583333333333334,1
NBA 2K7,7,True,True,Sports,2K,80,0.31,7.95,E,2006,2,0.0,8.183333333333334,1
Tony Hawk's Project 8,2,True,True,Sports,Activision,76,0.3,14.95,T,2006,11,0.0,16.433333333333334,1
Avatar: The Last Airbender,1,True,True,Action,THQ,64,0.3,17.95,E,2006,11,4.066666666666666,5.333333333333333,1
Castlevania: Portrait of Ruin,1,True,True,Action,Konami,85,0.3,17.95,M,2006,80,23.133333333333333,11.1,1
Hitman: Blood Money,1,True,True,Action,Eidos,82,0.29,22.95,E,2006,187,19.33333333333333,11.816666666666666,1
Rockstar Games presents Table Tennis,2,True,True,Sports,Rockstar,81,0.28,9.95,M,2006,2,0.0,6.0,1
Trauma Center: Second Opinion,1,True,True,"Action,Simulation",Nintendo,80,0.28,17.95,T,2006,19,16.0,8.683333333333334,1
Tenchu Z,1,True,True,Action,Microsoft,56,0.28,14.95,E,2006,8,59.0,20.816666666666663,1
Elite Beat Agents,1,True,True,Action,Nintendo,87,0.27,9.95,M,2006,51,30.45,4.15,1
Street Fighter Alpha 3 MAX,1,True,True,Action,Capcom,80,0.27,14.95,M,2006,2,0.0,2.0,1
Blue Dragon,1,True,True,Role-Playing (RPG),Microsoft,79,0.27,14.95,T,2006,68,99.13333333333334,44.5,1
The Lord of the Rings: The Battle for Middle Ea...,1,True,True,Strategy,EA,79,0.27,19.95,T,2006,22,27.85,14.716666666666669,1
Prey,1,True,True,Action,2K,79,0.27,14.95,T,2006,135,12.833333333333334,7.5,1
Over the Hedge,1,True,True,Adventure,Activision,71,0.26,16.95,E,2006,4,15.0,2.0,1
Capcom Classics Collection Reloaded,1,True,True,Action,Capcom,75,0.26,17.95,T,2006,0,0.0,0.0,1
Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,,52,0.26,14.95,T,2006,4,3.75,2.083333333333333,1
NHL 07 ,1,True,True,Sports,EA,79,0.26,5.95,T,2006,2,8.0,10.0,1
Monster Hunter Freedom,1,True,True,"Action,Strategy",Capcom,71,0.25,12.95,E,2006,6,683.1333333333333,60.0,1
Chromehounds,1,True,True,"Action,Simulation,Strategy",Sega,71,0.25,14.95,T,2006,3,72.0,10.0,1
Test Drive Unlimited,1,True,True,Racing / Driving,Atari,82,0.25,17.95,T,2006,22,112.66666666666669,28.08333333333333,1
Dragon Ball Z: Budokai Tenkaichi 2,2,True,True,Action,Atari,72,0.24,14.95,E,2006,16,28.883333333333333,11.283333333333331,1
Dragon Quest Monsters: Joker,1,True,True,Role-Playing (RPG),SquareEnix,75,0.24,14.95,T,2006,14,63.63333333333333,34.9,1
Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,,63,0.24,11.95,E,2006,4,3.75,2.083333333333333,1
NFL Street 3,1,True,True,"Action,Sports",EA,68,0.24,14.95,T,2006,0,0.0,0.0,1
Syphon Filter: Dark Mirror,1,True,True,Action,Sony,87,0.24,12.95,M,2006,8,15.0,6.85,1
NBA 07,4,True,True,Sports,Sony,63,0.23,6.95,T,2006,0,0.0,0.0,1
Ridge Racer 7,2,True,True,Racing / Driving,"Namco,Sony",78,0.23,19.95,E,2006,4,50.0,10.0,1
The Outfit,2,True,True,Action,THQ,70,0.23,14.95,E,2006,2,0.0,8.0,1
Elebits,4,True,True,Action,Konami,75,0.22,14.95,T,2006,5,0.0,8.016666666666667,1
Tony Hawk's Downhill Jam,1,True,True,"Racing / Driving,Sports",Activision,76,0.22,14.95,T,2006,0,0.0,0.0,1
The Sims 2: Pets,1,True,True,Simulation,EA,57,0.21,17.95,T,2006,2,0.0,0.0,1
Tiger Woods PGA Tour 07,1,True,True,Sports,EA,78,0.21,12.95,E,2006,1,0.0,10.0,1
Thrillville,1,True,True,"Simulation,Strategy",Atari,72,0.2,14.95,E,2006,1,0.0,0.0,1
The Godfather: The Game,1,True,True,Action,EA,77,0.2,17.95,T,2006,42,27.566666666666663,12.933333333333334,1
Rampage: Total Destruction,4,True,True,Action,Midway,46,0.19,16.95,E,2006,1,0.0,5.0,1
College Hoops 2K7,4,True,True,Sports,2K,82,0.19,6.95,T,2006,0,0.0,0.0,1
Far Cry: Instincts - Predator,4,True,True,Action,Ubisoft,78,0.19,17.95,E,2006,7,20.0,15.733333333333333,1
Full Auto,2,True,True,"Action,Racing / Driving",Sega,70,0.19,16.95,E,2006,1,0.0,5.0,1
Age of Empires: The Age of Kings,1,True,True,Strategy,,80,0.19,17.95,T,2006,38,62.41666666666666,46.15,1
Need for Speed: Carbon - Own the City,1,True,True,"Action,Racing / Driving",EA,70,0.19,14.95,T,2006,2,20.35,15.716666666666669,1
Brothers in Arms: D-Day,1,True,True,Action,Ubisoft,65,0.19,6.95,T,2006,2,0.0,8.0,1
Family Guy Video Game!,1,True,True,Action,2K,51,0.19,19.95,M,2006,5,0.0,6.1,1
Superman Returns,1,True,True,Action,EA,51,0.19,7.95,E,2006,5,21.716666666666665,7.0,1
Over G Fighters,2,True,True,Simulation,Ubisoft,49,0.18,17.95,E,2006,0,0.0,0.0,1
Final Fantasy XI Online,1,True,True,"Action,Role-Playing (RPG)",SquareEnix,66,0.18,4.95,E,2006,0,0.0,0.0,1
Mystery Dungeon: Shiren the Wanderer,1,True,True,"Action,Role-Playing (RPG)",Sega,69,0.17,17.95,T,2006,2,44.0,22.0,1
Phoenix Wright: Ace Attorney - Justice for All,1,True,True,"Adventure,Simulation",Capcom,76,0.17,13.95,E,2006,136,19.73333333333333,17.75,1
Justice League Heroes,1,True,True,Action,,72,0.17,17.95,M,2006,3,21.1,5.0,1
Valhalla Knights,1,True,True,"Action,Role-Playing (RPG)",,53,0.17,16.95,T,2006,1,0.0,0.0,1
Genji: Days of the Blade,1,True,True,"Action,Role-Playing (RPG)",Sony,55,0.17,14.95,T,2006,10,0.0,13.333333333333334,1
Top Spin 2,4,True,True,Sports,2K,75,0.16,12.95,T,2006,1,0.0,10.0,1
Field Commander,2,True,True,Strategy,"Sony,Ubisoft",77,0.16,14.95,T,2006,2,0.0,13.883333333333333,1
Children of Mana,1,True,True,"Action,Role-Playing (RPG)","Nintendo,SquareEnix",65,0.16,16.95,E,2006,29,27.95,17.683333333333334,1
Valkyrie Profile: Lenneth,1,True,True,Role-Playing (RPG),SquareEnix,80,0.16,22.95,E,2006,31,48.766666666666666,33.18333333333333,1
Monster House,1,True,True,Action,THQ,62,0.15,14.95,M,2006,1,6.666666666666667,0.0,1
Enchanted Arms,1,True,True,Role-Playing (RPG),Ubisoft,69,0.15,17.95,E,2006,51,52.4,22.48333333333333,1
NHL 07,4,True,True,Sports,EA,76,0.14,12.95,M,2006,2,8.0,10.0,1
Bust-a-Move Deluxe,2,True,True,Strategy,,73,0.14,14.95,M,2006,0,0.0,0.0,1
